t,roll,pitch,yaw,aroll,apitch,ax,ay,az,lax,lay,laz
0.495,5.06714383,5.0228337,9.21570465,5.4238136,6.77855273,-1.22871,0.977092,10.2909,-0.973481846,0.718603593,9.80839045
0.5,5.01897911,5.09813091,9.31232335,6.79727049,3.84118114,-0.644764,1.13658,9.53551,-0.91079886,0.798307234,9.75635506
0.505,4.97463513,5.16373084,9.41232542,1.36686758,7.25637601,-1.255,0.235114,9.85354,-0.976434345,0.690912293,9.77488719
0.51,4.9312496,5.21689118,9.51865466,5.41001758,2.64757644,-0.447896,0.913214,9.6428,-0.875647722,0.733302857,9.74969957
0.515,4.89064698,5.26657509,9.63445026,4.31137584,7.42255908,-1.28521,0.74163,9.83724,-0.953746879,0.734890754,9.7663926
0.52,4.85838799,5.33199341,9.7527414,4.04050154,6.16021197,-1.00166,0.653916,9.25739,-0.9628834,0.719449733,9.66933123
0.525,4.84737653,5.40841786,9.87161836,5.5870678,6.24970346,-1.07396,0.954766,9.76014,-0.984064522,0.764322034,9.6866475
0.53,4.84931213,5.48662532,9.99588653,7.6960093,5.54622527,-0.94701,1.30604,9.66475,-0.97699862,0.867621871,9.68247188
0.535,4.86095799,5.54662663,10.1018179,5.12509158,6.51560902,-1.12829,0.882491,9.83945,-1.00584827,0.870457255,9.71240593
0.54,4.87961328,5.58493165,10.1767303,3.86795354,5.86815305,-0.949829,0.623409,9.22049,-0.995165995,0.823347789,9.61860281
0.545,4.89593283,5.61757221,10.2405636,4.88499633,3.84295515,-0.664157,0.84196,9.85135,-0.932046111,0.826896939,9.66298522
0.55,4.89402378,5.66826287,10.3079932,4.02721956,9.05468071,-1.57018,0.69197,9.82853,-1.05373144,0.801167811,9.69455284
0.555,4.86925479,5.72102805,10.3848462,4.89768056,5.46168682,-0.953199,0.851138,9.93282,-1.03456097,0.810696593,9.73998785
0.56,4.8394513,5.76976129,10.4638927,5.84834273,6.54678998,-1.09701,0.974013,9.50917,-1.04646934,0.841839289,9.69597334
0.565,4.82317565,5.82895642,10.5399311,6.42579533,6.10277162,-1.01929,1.06694,9.47348,-1.04128653,0.884763593,9.65354624
0.57,4.81345155,5.88142812,10.6146617,3.61716234,4.20252749,-0.761636,0.653938,10.3446,-0.987960155,0.840747615,9.78532282
0.575,4.786345,5.91236065,10.6922337,2.8510445,4.95598802,-0.879682,0.504586,10.132,-0.967312666,0.776645182,9.85143046
0.58,4.74508299,5.93324259,10.7693178,2.7834089,6.03589203,-1.02749,0.47188,9.70589,-0.978787841,0.718529713,9.82367744
0.585,4.70463112,5.9582337,10.8460342,4.13191078,8.28694061,-1.40851,0.696782,9.64528,-1.06073127,0.714382656,9.78965896
0.59,4.66569137,5.98569322,10.9335532,4.05344457,5.34321353,-0.889402,0.672196,9.48569,-1.02806061,0.706338111,9.73169532
0.595,4.6340007,6.01313779,11.0402607,4.52092383,4.99762121,-0.851422,0.767458,9.70616,-0.99437751,0.717993022,9.72682601
