t,roll,pitch,yaw
2.56001,-4.78760673,6.29503005,46.0801884
2.56501,-4.80328285,6.24707348,46.1702
2.57001,-4.81884439,6.19900233,46.2602117
2.57501,-4.83427987,6.15070198,46.3502234
2.58001,-4.84959503,6.10228705,46.440235
2.58501,-4.86478987,6.05370023,46.5301894
2.59001,-4.87986439,6.00499881,46.6202011
2.59501,-4.89481859,5.95612551,46.7102128
2.60001,-4.90964674,5.90708033,46.8002244
2.60501,-4.92435457,5.85792055,46.8902361
2.61001,-4.93893634,5.80858888,46.9802478
2.61501,-4.9533978,5.75914262,47.0702021
2.62001,-4.9677332,5.70953594,47.1602138
2.62501,-4.98194256,5.65978601,47.2502255
2.63001,-4.99603159,5.60989285,47.3402372
2.63501,-5.00999457,5.55986217,47.4302488
2.64001,-5.0238315,5.50968826,47.5202605
2.64501,-5.03754238,5.45938256,47.6102149
2.65001,-5.05112721,5.40893936,47.7002265
2.65501,-5.06459172,5.35835864,47.7902382
2.66001,-5.07792445,5.30764615,47.8802499
2.66501,-5.09112539,5.25679614,47.9702616
2.67001,-5.10420602,5.20582009,48.0602732
2.67501,-5.11715487,5.15471225,48.1502276
2.68001,-5.12997766,5.10347263,48.2402393
2.68501,-5.14267441,5.0521127,48.3302509
2.69001,-5.15523937,5.00062098,48.4202626
2.69501,-5.16767829,4.94900321,48.5102743
2.70001,-5.17998542,4.89726512,48.6002859
2.70501,-5.1921665,4.84540098,48.6902403
2.71001,-5.2042158,4.79341652,48.780252
2.71501,-5.21613333,4.74131747,48.8702637
2.72001,-5.22791907,4.68909236,48.9602753
2.72501,-5.23957876,4.63675267,49.050287
2.73002,-5.25110667,4.58429838,49.1402987
2.73502,-5.2625028,4.53172951,49.230253
2.74002,-5.27376715,4.47904604,49.3202647
2.74502,-5.28489399,4.4262537,49.4102764
2.75002,-5.29589478,4.37334678,49.5002881
2.75502,-5.30676379,4.32033672,49.5902997
2.76002,-5.31750102,4.26721208,49.6803114
2.76502,-5.32810074,4.2139843,49.7702658
2.77002,-5.33856868,4.16064766,49.8602774
2.77502,-5.34890484,4.10720788,49.9502891
2.78002,-5.35910349,4.05366498,50.0403008
2.78502,-5.36917036,4.00002467,50.1303125
2.79002,-5.37910544,3.94628122,50.2203241
2.79502,-5.38890302,3.89244038,50.3102785
2.80002,-5.39856882,3.83850213,50.4002902
2.80502,-5.40809711,3.78446648,50.4903018
2.81002,-5.41749362,3.73033916,50.5803135
2.81502,-5.42674688,3.67611443,50.6703252
2.82002,-5.4358741,3.62179803,50.7603369
2.82502,-5.44485808,3.56739569,50.8502912
2.83002,-5.45371028,3.51290167,50.9403029
2.83502,-5.46242497,3.45832171,51.0303146
2.84002,-5.47100214,3.40365008,51.1203262
2.84502,-5.47944181,3.34889823,51.2103379
2.85002,-5.48774397,3.29406044,51.3003496
2.85502,-5.49591435,3.23914244,51.390304
2.86002,-5.50394149,3.18413849,51.4803156
2.86502,-5.51183112,3.12906006,51.5703273
2.87002,-5.51958897,3.07390141,51.660339
2.87502,-5.52720358,3.01866828,51.7503506
2.88002,-5.53468067,2.96335493,51.8403623
2.88502,-5.54202026,2.90797283,51.9303167
2.89002,-5.54922234,2.85251051,52.0203284
2.89502,-5.55628118,2.79698517,52.11034
2.90002,-5.56320824,2.74138535,52.2003517
2.90502,-5.56999206,2.68571677,52.2903634
2.91002,-5.57663264,2.62998516,52.380375
2.91502,-5.58314145,2.5741848,52.4703294
2.92002,-5.58950701,2.51831569,52.5603411
2.92502,-5.59573506,2.46238928,52.6503527
2.93002,-5.60181987,2.40639984,52.7403644
2.93502,-5.60776717,2.35035311,52.8303761
2.94002,-5.61357123,2.29424335,52.9203878
2.94502,-5.61923779,2.2380763,53.0103421
2.95002,-5.6247611,2.18185768,53.1003538
2.95502,-5.6301469,2.12558176,53.1903655
2.96002,-5.63538947,2.06925428,53.2803771
2.96502,-5.64049452,2.01286951,53.3703888
2.97002,-5.64545634,1.95643889,53.4603432
2.97502,-5.65027491,1.89996244,53.5503549
2.98002,-5.65495598,1.84343443,53.6403665
2.98502,-5.6594938,1.78686057,53.7303782
2.99002,-5.66388839,1.73024088,53.8203899
2.99502,-5.66814546,1.67358109,53.9104015
3.00002,-5.67225357,1.61687545,54.0003559
3.00502,-5.6762299,1.56012971,54.0903676
3.01002,-5.68005726,1.50334959,54.1803793
3.01502,-5.68374711,1.44652937,54.2703909
3.02002,-5.68728798,1.38966904,54.3604026
3.02502,-5.69069135,1.33278006,54.4504143
