t qw qx qy qz px py pz wx wy wz ax ay az roll pitch yaw 
0.61 0.886557 0.355669 0.294515 -0.027884 0 0 0 -0.743155 0.752354 -0.418909 -5.31745 6.02547 5.62624 0.819648 0.572867 0.191637 
0.615 0.886634 0.35376 0.296603 -0.0275906 0 0 0 -0.748325 0.751078 -0.415127 -5.35113 5.99336 5.6286 0.816774 0.576958 0.193208 
0.62 0.886709 0.351839 0.298682 -0.027286 0 0 0 -0.753473 0.749779 -0.411328 -5.3846 5.96113 5.6309 0.813879 0.581035 0.194779 
0.625 0.886783 0.349907 0.300753 -0.02697 0 0 0 -0.758601 0.748458 -0.407511 -5.41787 5.92879 5.63314 0.810963 0.585097 0.196349 
0.63 0.886856 0.347964 0.302816 -0.0266426 0 0 0 -0.763707 0.747113 -0.403676 -5.45093 5.89632 5.63532 0.808028 0.589144 0.19792 
0.635 0.886927 0.346009 0.30487 -0.0263039 0 0 0 -0.768792 0.745746 -0.399825 -5.48377 5.86375 5.63745 0.805072 0.593177 0.199491 
0.64 0.886997 0.344043 0.306916 -0.0259536 0 0 0 -0.773855 0.744355 -0.395957 -5.51641 5.83106 5.63951 0.802096 0.597195 0.201062 
0.645 0.887065 0.342066 0.308953 -0.0255919 0 0 0 -0.778896 0.74294 -0.392072 -5.54884 5.79826 5.64151 0.7991 0.601198 0.202633 
0.65 0.887131 0.340078 0.310981 -0.0252187 0 0 0 -0.783916 0.741501 -0.388172 -5.58106 5.76536 5.64345 0.796084 0.605186 0.204203 
0.655 0.887196 0.338079 0.313001 -0.0248339 0 0 0 -0.788914 0.740039 -0.384255 -5.61306 5.73236 5.64532 0.793048 0.609159 0.205774 
0.66 0.887259 0.336069 0.315012 -0.0244376 0 0 0 -0.79389 0.738552 -0.380324 -5.64486 5.69926 5.64713 0.789993 0.613116 0.207345 
0.665 0.88732 0.334048 0.317013 -0.0240297 0 0 0 -0.798844 0.737041 -0.376377 -5.67645 5.66606 5.64888 0.786917 0.617059 0.208916 
0.67 0.887379 0.332017 0.319006 -0.0236102 0 0 0 -0.803775 0.735505 -0.372416 -5.70782 5.63277 5.65056 0.783822 0.620986 0.210487 
0.675 0.887437 0.329975 0.32099 -0.023179 0 0 0 -0.808684 0.733944 -0.36844 -5.73898 5.59939 5.65217 0.780707 0.624897 0.212057 
0.68 0.887493 0.327922 0.322964 -0.0227362 0 0 0 -0.813571 0.732358 -0.364451 -5.76994 5.56592 5.65372 0.777573 0.628793 0.213628 
0.685 0.887547 0.32586 0.32493 -0.0222817 0 0 0 -0.818436 0.730747 -0.360448 -5.80067 5.53236 5.65519 0.774419 0.632673 0.215199 
0.69 0.887599 0.323786 0.326886 -0.0218155 0 0 0 -0.823278 0.72911 -0.356432 -5.8312 5.49873 5.65661 0.771246 0.636537 0.21677 
0.695 0.887649 0.321703 0.328832 -0.0213376 0 0 0 -0.828097 0.727447 -0.352403 -5.86152 5.46501 5.65795 0.768054 0.640385 0.218341 
0.7 0.887697 0.319609 0.330769 -0.0208479 0 0 0 -0.832893 0.725759 -0.348362 -5.89162 5.43122 5.65922 0.764843 0.644217 0.219911 
0.705 0.887744 0.317506 0.332697 -0.0203465 0 0 0 -0.837666 0.724044 -0.344308 -5.92151 5.39735 5.66043 0.761612 0.648033 0.221482 
0.71 0.887788 0.315392 0.334615 -0.0198333 0 0 0 -0.842417 0.722303 -0.340243 -5.95119 5.36342 5.66156 0.758362 0.651833 0.223053 
0.714999 0.88783 0.313269 0.336523 -0.0193083 0 0 0 -0.847144 0.720536 -0.336167 -5.98065 5.32941 5.66262 0.755094 0.655617 0.224624 
0.719999 0.88787 0.311135 0.338422 -0.0187716 0 0 0 -0.851848 0.718742 -0.332079 -6.0099 5.29534 5.66361 0.751806 0.659384 0.226195 
0.724999 0.887908 0.308993 0.340311 -0.018223 0 0 0 -0.856529 0.716921 -0.327981 -6.03894 5.26121 5.66453 0.7485 0.663135 0.227765 
0.729999 0.887943 0.30684 0.342189 -0.0176626 0 0 0 -0.861186 0.715073 -0.323873 -6.06777 5.22702 5.66538 0.745175 0.666869 0.229336 
0.734999 0.887977 0.304678 0.344058 -0.0170904 0 0 0 -0.86582 0.713197 -0.319755 -6.09638 5.19277 5.66616 0.741831 0.670587 0.230907 
0.739999 0.888008 0.302507 0.345917 -0.0165063 0 0 0 -0.87043 0.711295 -0.315627 -6.12478 5.15847 5.66686 0.738469 0.674288 0.232478 
0.744999 0.888037 0.300326 0.347766 -0.0159105 0 0 0 -0.875017 0.709364 -0.311491 -6.15297 5.12411 5.6675 0.735088 0.677971 0.234048 
0.749999 0.888064 0.298136 0.349604 -0.0153027 0 0 0 -0.879579 0.707406 -0.307346 -6.18095 5.08971 5.66805 0.731689 0.681638 0.235619 
0.754999 0.888088 0.295938 0.351432 -0.0146831 0 0 0 -0.884118 0.70542 -0.303192 -6.20871 5.05526 5.66854 0.728272 0.685288 0.23719 
0.759999 0.88811 0.29373 0.35325 -0.0140517 0 0 0 -0.888634 0.703405 -0.299031 -6.23626 5.02077 5.66895 0.724836 0.688921 0.238761 
0.764999 0.88813 0.291513 0.355057 -0.0134084 0 0 0 -0.893125 0.701363 -0.294863 -6.2636 4.98624 5.66929 0.721383 0.692537 0.240332 
0.769999 0.888147 0.289287 0.356854 -0.0127532 0 0 0 -0.897592 0.699291 -0.290687 -6.29073 4.95167 5.66955 0.717911 0.696135 0.241902 
0.774999 0.888162 0.287053 0.35864 -0.0120862 0 0 0 -0.902034 0.697192 -0.286505 -6.31764 4.91706 5.66974 0.714421 0.699716 0.243473 
0.779999 0.888174 0.28481 0.360416 -0.0114074 0 0 0 -0.906453 0.695063 -0.282316 -6.34434 4.88243 5.66986 0.710914 0.703279 0.245044 
0.784999 0.888184 0.282558 0.362181 -0.0107167 0 0 0 -0.910847 0.692905 -0.278122 -6.37083 4.84776 5.6699 0.707389 0.706825 0.246615 
0.789999 0.888191 0.280298 0.363935 -0.0100141 0 0 0 -0.915217 0.690719 -0.273923 -6.39711 4.81306 5.66987 0.703846 0.710353 0.248186 
