t qw qx qy qz px py pz wx wy wz ax ay az roll pitch yaw 
0.42 0.996079 0.0428168 0.0436399 0.0639457 19.8696 7.63129 5.96858 0.123639 0.470879 0.423523 -1.40013 -0.307652 0.165067 0.0913089 0.081552 0.131947 
0.425 0.996016 0.0426492 0.044121 0.0647106 19.8665 7.66243 5.97237 0.144623 0.403807 0.222501 -1.28167 -0.532464 0.639799 0.0911039 0.0824641 0.133518 
0.43 0.995951 0.0424798 0.0446007 0.0654755 19.8633 7.69356 5.97592 -0.183557 0.115208 0.315893 -1.38035 -0.191827 0.320779 0.0908966 0.0833741 0.135088 
0.435 0.995887 0.0423086 0.0450791 0.0662406 19.8601 7.72468 5.97922 -0.232301 -0.227112 0.325063 -1.2211 0.0627666 0.280393 0.090687 0.084282 0.136659 
0.44 0.995821 0.0421356 0.0455561 0.0670058 19.8569 7.7558 5.98229 -0.520456 0.0679615 0.176781 -1.27798 0.347567 -0.215645 0.0904752 0.0851878 0.13823 
0.445 0.995755 0.0419609 0.0460318 0.0677711 19.8537 7.78692 5.98511 0.0527531 0.462873 0.56253 -1.44844 -0.179436 0.15497 0.0902611 0.0860915 0.139801 
0.45 0.995688 0.0417844 0.046506 0.0685365 19.8504 7.81802 5.98769 -0.410371 -0.165259 0.285971 -1.82933 0.5002 0.200503 0.0900447 0.0869931 0.141372 
0.455 0.99562 0.0416061 0.0469788 0.069302 19.847 7.84912 5.99002 0.0514059 0.155071 0.0137659 -1.44215 -0.116398 -0.0423455 0.0898261 0.0878924 0.142942 
0.46 0.995552 0.041426 0.0474502 0.0700677 19.8436 7.88021 5.99211 -0.279249 0.0788581 -0.039558 -1.44245 0.103926 -0.152925 0.0896053 0.0887896 0.144513 
0.465 0.995482 0.0412442 0.0479201 0.0708335 19.8402 7.9113 5.99396 -0.0603181 0.312764 0.209078 -2.00491 -0.168553 0.0610076 0.0893822 0.0896845 0.146084 
0.47 0.995413 0.0410607 0.0483886 0.0715995 19.8368 7.94238 5.99556 0.205198 0.245767 0.299788 -1.56085 -0.0342446 0.176426 0.0891568 0.0905772 0.147655 
0.475 0.995342 0.0408754 0.0488556 0.0723655 19.8333 7.97345 5.99692 -0.217337 0.414024 0.173098 -1.23608 -0.222009 -0.140151 0.0889293 0.0914676 0.149226 
0.48 0.995271 0.0406884 0.0493211 0.0731317 19.8298 8.00451 5.99803 0.0872455 0.00672158 0.635245 -1.44764 0.391759 -0.272304 0.0886995 0.0923558 0.150796 
0.485 0.995199 0.0404996 0.0497852 0.073898 19.8262 8.03557 5.99889 0.100431 0.42104 0.470956 -1.60455 0.0710169 0.000434028 0.0884675 0.0932416 0.152367 
0.49 0.995126 0.0403092 0.0502477 0.0746645 19.8226 8.06661 5.99951 0.0465536 0.241808 0.447292 -2.03201 0.208115 0.00503482 0.0882333 0.0941251 0.153938 
0.495 0.995052 0.040117 0.0507087 0.075431 19.819 8.09765 5.99988 0.00574801 0.386004 0.0558673 -1.55096 0.0619214 0.171676 0.0879969 0.0950063 0.155509 
0.5 0.994978 0.0399231 0.0511681 0.0761977 19.8153 8.12869 6 -0.299274 0.342285 0.390186 -1.73001 0.246994 -0.0777666 0.0877583 0.0958851 0.15708 
