t,x,y,theta,x_i,y_i,theta_i
197.327333,5.00040016,0.00915707036,1.44234945,5.00071892,-0.0251891648,1.38145097
197.328007,5.00040016,0.00915707036,1.44234945,5.00071892,-0.0251891648,1.38145233
197.330312,5.00040016,0.00915707036,1.44234945,5.00071892,-0.0251891648,1.3814501
197.332273,5.00040016,0.00915707036,1.44234945,5.00071892,-0.0251891648,1.3814482
197.333037,5.00040016,0.00915707036,1.44234945,5.00071892,-0.0251891648,1.38144662
197.333861,5.00040016,0.00915707036,1.44234945,5.00071892,-0.0251891648,1.38144492
197.336108,5.00040016,0.00915707036,1.44234945,5.00071892,-0.0251891648,1.38144029
197.342304,5.00040016,0.00915707036,1.44234945,5.00071892,-0.0251891648,1.38144476
197.350259,5.00040016,0.00915707036,1.44234945,5.00071892,-0.0251891648,1.38145056
197.351241,5.00040016,0.00915707036,1.44234945,5.00071892,-0.0251891648,1.38145042
197.35242,5.00040016,0.00915707036,1.44234945,5.00071892,-0.0251891648,1.38145025
197.357215,5.00040016,0.00915707036,1.44234945,5.00071892,-0.0251891648,1.38144252
197.360147,5.00040016,0.00915707036,1.44234945,5.00071892,-0.0251891648,1.38143779
197.364758,5.00040016,0.00915707036,1.44234945,5.00071892,-0.0251891648,1.38143034
197.368033,5.00040016,0.00915707036,1.44234945,5.00071892,-0.0251891648,1.38143416
197.372345,5.00040016,0.00915707036,1.44234945,5.00071892,-0.0251891648,1.3814392
197.377148,5.00040016,0.00915707036,1.44234945,5.00071892,-0.0251891648,1.38145564
197.380108,5.00040016,0.00915707036,1.44234945,5.00071892,-0.0251891648,1.38146577
197.384755,5.00040016,0.00915707036,1.44234945,5.00071892,-0.0251891648,1.38148168
197.388837,5.00040016,0.00915707036,1.44234945,5.00071892,-0.0251891648,1.38148011
197.392116,5.00040016,0.00915707036,1.44234945,5.00071892,-0.0251891648,1.38147884
197.39707,5.00040016,0.00915707036,1.44234945,5.00071892,-0.0251891648,1.38148007
197.400076,5.00040016,0.00915707036,1.44234945,5.00071892,-0.0251891648,1.3814808
197.404472,5.00040016,0.00915707036,1.44234945,5.00071892,-0.0251891648,1.38148187
197.408045,5.00040016,0.00915707036,1.44234945,5.00071892,-0.0251891648,1.38149781
197.412074,5.00040016,0.00915707036,1.44234945,5.00071892,-0.0251891648,1.3815158
197.41693,5.00040016,0.00915707036,1.44234945,5.00071892,-0.0251891648,1.38151274
197.420057,5.00040016,0.00915707036,1.44234945,5.00071892,-0.0251891648,1.38151077
197.424347,5.00040016,0.00915707036,1.44234945,5.00071892,-0.0251891648,1.38150806
197.428051,5.00040016,0.00915707036,1.44234945,5.00071892,-0.0251891648,1.3814981
197.432067,5.00040016,0.00915707036,1.44234945,5.00071892,-0.0251891648,1.38148731
197.436775,5.00040016,0.00915707036,1.44234945,5.00071892,-0.0251891648,1.38150777
197.441178,5.00040016,0.00915707036,1.44234945,5.00071892,-0.0251891648,1.3815269
197.444243,5.00040016,0.00915707036,1.44234945,5.00071892,-0.0251891648,1.38154022
197.449183,5.00040016,0.00915707036,1.44234945,5.00071892,-0.0251891648,1.38155671
197.452047,5.00040016,0.00915707036,1.44234945,5.00071892,-0.0251891648,1.38156628
197.456669,5.00040016,0.00915707036,1.44234945,5.00071892,-0.0251891648,1.38155658
197.460046,5.00040016,0.00915707036,1.44234945,5.00071892,-0.0251891648,1.38154949
197.464061,5.00040016,0.00915707036,1.44234945,5.00071892,-0.0251891648,1.38154106
197.469059,5.00040016,0.00915707036,1.44234945,5.00071892,-0.0251891648,1.38153769
197.475604,5.00040016,0.00915707036,1.44234945,5.00071892,-0.0251891648,1.38153327
197.476503,5.00040016,0.00915707036,1.44234945,5.00071892,-0.0251891648,1.38153475
197.480102,5.00040016,0.00915707036,1.44234945,5.00071892,-0.0251891648,1.38154072
197.484012,5.00040016,0.00915707036,1.44234945,5.00071892,-0.0251891648,1.38154721
197.493909,5.00040016,0.00915707036,1.44234945,5.00071892,-0.0251891648,1.3815609
197.497025,5.00040016,0.00915707036,1.44234945,5.00071892,-0.0251891648,1.38156521
197.498346,5.00040016,0.00915707036,1.44234945,5.00071892,-0.0251891648,1.38156446
197.500243,5.00040016,0.00915707036,1.44234945,5.00071892,-0.0251891648,1.38156338
