time_s,dpx,dpy,px,py,theta
148.751,1.75419e-07,-1.51104e-07,0.000133159,-7.49274e-08,0.00131841
148.756,2.7435e-07,-2.36322e-07,0.000133433,-7.52389e-08,0.00132112
148.76,6.57032e-07,-5.65958e-07,0.00013409,-7.59866e-08,0.00132763
148.763,4.55995e-07,-3.92788e-07,0.000134546,-7.65081e-08,0.00133214
148.767,5.58004e-07,-4.80657e-07,0.000135104,-7.71484e-08,0.00133767
148.771,4.15875e-07,-3.58229e-07,0.00013552,-7.76276e-08,0.00134179
148.775,5.28821e-07,-4.55519e-07,0.000136049,-7.82388e-08,0.00134702
148.78,6.25159e-07,-5.38504e-07,0.000136674,-7.89642e-08,0.00135321
148.783,3.96681e-07,-3.41696e-07,0.000137071,-7.94266e-08,0.00135714
148.787,1.0613e-06,-9.14189e-07,0.000138132,-8.06673e-08,0.00136765
148.791,8.64961e-07,-7.45065e-07,0.000138997,-8.16863e-08,0.00137621
148.795,9.64467e-07,-8.30778e-07,0.000139962,-8.28296e-08,0.00138576
148.8,7.86453e-07,-6.7744e-07,0.000140748,-8.37683e-08,0.00139355
148.803,5.03151e-07,-4.33407e-07,0.000141251,-8.43723e-08,0.00139853
148.808,1.00253e-06,-8.63561e-07,0.000142254,-8.558e-08,0.00140845
148.811,6.412e-07,-5.52321e-07,0.000142895,-8.6358e-08,0.0014148
148.815,7.80397e-07,-6.72223e-07,0.000143675,-8.7309e-08,0.00142253
148.819,1.08521e-06,-9.34781e-07,0.000144761,-8.86388e-08,0.00143327
148.823,7.48056e-07,-6.44365e-07,0.000145509,-8.95623e-08,0.00144068
148.827,-5.88434e-08,5.06869e-08,0.00014545,-8.94893e-08,0.0014401
148.832,-6.4424e-08,5.5494e-08,0.000145385,-8.94094e-08,0.00143946
148.835,-3.82125e-08,3.29158e-08,0.000145347,-8.9362e-08,0.00143908
148.84,2.29882e-06,-1.98017e-06,0.000147646,-9.22116e-08,0.00146184
148.843,1.72208e-06,-1.48337e-06,0.000149368,-9.43801e-08,0.00147889
148.847,3.81575e-07,-3.28683e-07,0.00014975,-9.48662e-08,0.00148267
148.852,5.52707e-07,-4.76094e-07,0.000150302,-9.55721e-08,0.00148814
148.856,4.78256e-07,-4.11963e-07,0.000150781,-9.61851e-08,0.00149288
148.864,-7.45733e-07,6.42364e-07,0.000150035,-9.52262e-08,0.00148549
148.865,-1.91718e-08,1.65143e-08,0.000150016,-9.52016e-08,0.00148531
148.867,6.01392e-07,-5.18031e-07,0.000150617,-9.59711e-08,0.00149126
148.872,1.31971e-06,-1.13678e-06,0.000151937,-9.76663e-08,0.00150433
148.875,9.10649e-07,-7.8442e-07,0.000152848,-9.88463e-08,0.00151334
148.879,6.00607e-07,-5.17355e-07,0.000153448,-9.96292e-08,0.00151929
148.883,5.32417e-07,-4.58617e-07,0.000153981,-1.00326e-07,0.00152456
148.887,-5.95021e-07,5.12543e-07,0.000153386,-9.95446e-08,0.00151867
148.892,-7.14196e-07,6.15199e-07,0.000152671,-9.86103e-08,0.0015116
148.895,-4.84252e-07,4.17128e-07,0.000152187,-9.79798e-08,0.0015068
148.899,5.57557e-07,-4.80272e-07,0.000152745,-9.87035e-08,0.00151232
148.903,5.02129e-07,-4.32527e-07,0.000153247,-9.93576e-08,0.0015173
148.907,1.07943e-07,-9.29809e-08,0.000153355,-9.94987e-08,0.00151836
148.911,1.25847e-07,-1.08403e-07,0.000153481,-9.96633e-08,0.00151961
148.915,8.8637e-08,-7.63507e-08,0.000153569,-9.97793e-08,0.00152049
148.919,1.07124e-06,-9.22754e-07,0.00015464,-1.01182e-07,0.00153109
148.924,1.40785e-06,-1.2127e-06,0.000156048,-1.03039e-07,0.00154503
148.927,6.21286e-08,-5.35167e-08,0.00015611,-1.03122e-07,0.00154565
148.931,1.23782e-07,-1.06624e-07,0.000156234,-1.03287e-07,0.00154687
148.935,9.10775e-08,-7.84529e-08,0.000156325,-1.03408e-07,0.00154778
148.939,1.16252e-06,-1.00137e-06,0.000157488,-1.04958e-07,0.00155929
148.944,1.4077e-06,-1.21257e-06,0.000158895,-1.06849e-07,0.00157322
